1;0.10
2;0.20
3;0.30
4;0.40
5;0.50
6;0.60
7;0.70
8;0.80
9;0.90
10;1.00
11;1.10
12;1.20
13;1.30
14;1.40
15;1.50
16;1.60
17;1.70
18;1.80
19;1.90
20;2.00
21;2.10
22;2.20
23;2.30
24;2.40
25;2.50
26;2.60
27;2.70
28;2.80
29;2.90
30;3.00
31;3.10
32;3.20
33;3.30
34;3.40
35;3.50
36;3.60
37;3.70
38;3.80
39;3.90
40;4.00
41;4.10
42;4.20
43;4.30
44;4.40
45;4.50
46;4.60
47;4.70
48;4.80
49;4.90
50;5.00
51;5.10
52;5.20
53;5.30
54;5.40
55;5.50
56;5.60
57;5.70
58;5.80
59;5.90
60;6.00
61;6.10
62;6.20
63;6.30
64;6.40
65;6.50
66;6.60
67;6.70
68;6.80
69;6.90
70;7.00
71;7.10
72;7.20
73;7.30
74;7.40
75;7.50
76;7.60
77;7.70
78;7.80
79;7.90
80;8.00
81;8.10
82;8.20
83;8.30
84;8.40
85;8.50
86;8.60
87;8.70
88;8.80
89;8.90
90;9.00
91;9.10
92;9.20
93;9.30
94;9.40
95;9.50
96;9.60
97;9.70
98;9.80
99;9.90
100;10.00
101;10.10
102;10.20
103;10.30
104;10.40
105;10.50
106;10.60
107;10.70
108;10.80
109;10.90
110;11.00
111;11.10
112;11.20
113;11.30
114;11.40
115;11.50
116;11.60
117;11.70
118;11.80
119;11.90
120;12.00
121;12.10
122;12.20
123;12.30
124;12.40
125;12.50
126;12.60
127;12.70
128;12.80
129;12.90
130;13.00
131;13.10
132;13.20
133;13.30
134;13.40
135;13.50
136;13.60
137;13.70
138;13.80
139;13.90
140;14.00
141;14.10
142;14.20
143;14.30
144;14.40
145;14.50
146;14.60
147;14.70
148;14.80
149;14.90
150;15.00
151;15.10
152;15.20
153;15.30
154;15.40
155;15.50
156;15.60
157;15.70
158;15.80
159;15.90
160;16.00
161;16.10
162;16.20
163;16.30
164;16.40
165;16.50
166;16.60
167;16.70
168;16.80
169;16.90
170;17.00
171;17.10
172;17.20
173;17.30
174;17.40
175;17.50
176;17.60
177;17.70
178;17.80
179;17.90
180;18.00
181;18.10
182;18.20
183;18.30
184;18.40
185;18.50
186;18.60
187;18.70
188;18.80
189;18.90
190;19.00
191;19.10
192;19.20
193;19.30
194;19.40
195;19.50
196;19.60
197;19.70
198;19.80
199;19.90
200;20.00
201;20.10
202;20.20
203;20.30
204;20.40
205;20.50
206;20.60
207;20.70
208;20.80
209;20.90
210;21.00
211;21.10
212;21.20
213;21.30
214;21.40
215;21.50
216;21.60
217;21.70
218;21.80
219;21.90
220;22.00
